Time(sec)	Temp(C)	DTA(uV)	TGA(mg)
529.000000	109.401596	-1.180000	2.175697
530.000000	109.714394	-1.176000	2.176701
531.000000	109.850197	-1.173000	2.176998
532.000000	109.957397	-1.168000	2.176800
533.000000	110.207596	-1.165000	2.176399
534.000000	110.275894	-1.161000	2.175697
535.000000	110.476799	-1.159000	2.174198
536.000000	110.735901	-1.156000	2.174999
537.000000	110.711098	-1.153000	2.177597
538.000000	110.975395	-1.153000	2.179501
539.000000	111.196495	-1.153000	2.180698
540.000000	111.257698	-1.155000	2.180901
541.000000	111.481995	-1.156000	2.180500
542.000000	111.598198	-1.159000	2.179199
543.000000	111.743294	-1.164000	2.176899
544.000000	112.042496	-1.168000	2.175098
545.000000	112.037796	-1.172000	2.173298
546.000000	112.224800	-1.176000	2.171700
547.000000	112.501595	-1.182000	2.170700
548.000000	112.533394	-1.189000	2.169197
549.000000	112.779099	-1.195000	2.169197
550.000000	112.938293	-1.202000	2.168598
551.000000	113.013496	-1.209000	2.168999
552.000000	113.304596	-1.217000	2.168697
553.000000	113.407394	-1.225000	2.167900
554.000000	113.509193	-1.234000	2.168800
555.000000	113.790001	-1.244000	2.170097
556.000000	113.841194	-1.254000	2.171997
557.000000	114.066399	-1.265000	2.172398
558.000000	114.279999	-1.276000	2.172501
559.000000	114.261696	-1.286000	2.174000
560.000000	114.553696	-1.294000	2.176098
561.000000	114.751595	-1.301000	2.178398
562.000000	114.784897	-1.305000	2.179798
563.000000	115.049599	-1.307000	2.181599
564.000000	115.177200	-1.307000	2.184898
565.000000	115.347397	-1.305000	2.187798
566.000000	115.625999	-1.301000	2.190598
567.000000	115.604599	-1.294000	2.192101
568.000000	115.852295	-1.286000	2.193398
569.000000	116.108795	-1.277000	2.194698
570.000000	116.139000	-1.268000	2.194698
571.000000	116.329498	-1.260000	2.195297
572.000000	116.516296	-1.254000	2.195198
573.000000	116.611694	-1.250000	2.195000
574.000000	116.896797	-1.247000	2.194099
575.000000	116.967194	-1.247000	2.192299
576.000000	117.107498	-1.248000	2.190899
577.000000	117.403793	-1.251000	2.188000
578.000000	117.455093	-1.256000	2.184799
579.000000	117.647194	-1.262000	2.180500
580.000000	117.864899	-1.269000	2.176899
581.000000	117.893494	-1.276000	2.175198
582.000000	118.169395	-1.284000	2.172798
583.000000	118.358696	-1.290000	2.171700
584.000000	118.366898	-1.294000	2.171200
585.000000	118.654099	-1.298000	2.171600
586.000000	118.769897	-1.301000	2.173000
587.000000	118.954201	-1.303000	2.173698
588.000000	119.185997	-1.304000	2.175198
589.000000	119.193298	-1.304000	2.176998
590.000000	119.451599	-1.305000	2.176998
591.000000	119.718597	-1.304000	2.177097
592.000000	119.693893	-1.303000	2.176998
593.000000	119.951096	-1.302000	2.177399
594.000000	120.122200	-1.301000	2.178497
595.000000	120.223694	-1.300000	2.179798
596.000000	120.501694	-1.299000	2.181797
597.000000	120.513397	-1.298000	2.184898
598.000000	120.721001	-1.297000	2.187798
599.000000	121.011696	-1.295000	2.191097
600.000000	121.052994	-1.293000	2.192898
601.000000	121.229996	-1.290000	2.193699
602.000000	121.468597	-1.287000	2.193501
603.000000	121.514496	-1.283000	2.194000
604.000000	121.801598	-1.280000	2.194599
605.000000	121.924194	-1.277000	2.193699
606.000000	121.966698	-1.274000	2.192398
607.000000	122.275795	-1.273000	2.191399
608.000000	122.367294	-1.273000	2.191200
609.000000	122.534798	-1.277000	2.190899
610.000000	122.778397	-1.283000	2.189899
611.000000	122.814400	-1.291000	2.190598
612.000000	123.057297	-1.303000	2.190498
613.000000	123.284996	-1.317000	2.191097
614.000000	123.274498	-1.334000	2.191898
615.000000	123.539894	-1.353000	2.193100
616.000000	123.704994	-1.371000	2.194599
617.000000	123.832199	-1.388000	2.194099
618.000000	124.058296	-1.403000	2.193897
619.000000	124.119995	-1.414000	2.193398
620.000000	124.303101	-1.421000	2.191200
621.000000	124.611397	-1.425000	2.189400
622.000000	124.602898	-1.428000	2.187099
623.000000	124.828094	-1.429000	2.185699
624.000000	125.060997	-1.431000	2.185600
625.000000	125.107201	-1.434000	2.185799
626.000000	125.398193	-1.437000	2.186798
627.000000	125.469597	-1.441000	2.187298
628.000000	125.593498	-1.446000	2.187298
629.000000	125.896797	-1.452000	2.188000
630.000000	125.967194	-1.458000	2.188999
631.000000	126.096497	-1.464000	2.189198
632.000000	126.347099	-1.470000	2.188000
633.000000	126.430000	-1.476000	2.188499
634.000000	126.692200	-1.481000	2.188797
635.000000	126.876297	-1.485000	2.189198
636.000000	126.880997	-1.488000	2.188099
637.000000	127.175697	-1.489000	2.186699
638.000000	127.329895	-1.489000	2.187798
639.000000	127.435600	-1.487000	2.189098
640.000000	127.676697	-1.483000	2.190598
641.000000	127.758896	-1.476000	2.191498
642.000000	127.948296	-1.470000	2.191998
643.000000	128.239792	-1.463000	2.192497
644.000000	128.186996	-1.458000	2.192898
645.000000	128.462601	-1.455000	2.192997
646.000000	128.686203	-1.454000	2.192497
647.000000	128.751602	-1.455000	2.190899
648.000000	128.990204	-1.456000	2.190899
649.000000	129.087692	-1.455000	2.191498
650.000000	129.251404	-1.453000	2.192299
651.000000	129.538193	-1.449000	2.192600
652.000000	129.561890	-1.444000	2.192398
653.000000	129.727600	-1.437000	2.192299
654.000000	130.006195	-1.431000	2.191399
655.000000	130.042603	-1.425000	2.190598
656.000000	130.315094	-1.420000	2.190197
657.000000	130.472504	-1.416000	2.189301
658.000000	130.524796	-1.414000	2.188698
